Indirect Category Mapping,Vendor,YTD Spend Dec 2025 (k EUR),Target 2026
"Clinical, Lab and scientific services",Lek d.d.,-1816.87,1200.00
"Clinical, Lab and scientific services",,-1602.33,-1602.33
Production Equipment,"Lombar d.o.o.",-1380.49,
"External Warehouse and distribution",CARGO-PARTNER D.O.O.,-1037.29,
Production Equipment,SPARE PARTS,-1015.13,1015.13
"External Warehouse and distribution","WORLD COURIER, D.O.O.",-860.69,
"External Warehouse and distribution",Lek d.d.,-858.25,
"Clinical, Lab and scientific services",HERMES ANALITICA D.O.O.,-553.56,-553.56
"Clinical, Lab and scientific services",MIKRO+POLO D O O,-523.55,-523.55
"External Warehouse and distribution",RENT.FOR OUT.WARE.-RAW/SEM.FIN/FIN.MATER,-445.32,
Professional Services,SS D.O.O,-387.76,
"Clinical, Lab and scientific services",Sartorius Stedim Biotech GmbH,-379.21,
"External Warehouse and distribution",SCHENKER D.D.,-330.63,
"Clinical, Lab and scientific services",VWR INTERNATIONAL GMBH,-292.30,-292.30
Production Equipment,ASSETS UNDER CONSTR. EQUIPMENT PURCHASE PRICE,-283.21,
"Clinical, Lab and scientific services",PACKAGING MATERIAL - INVENTORIES,-280.21,
Production Equipment,ASSETS UNDER CONSTR. REAL ESTATE PURCHASE PRICE,-220.91,
"External Warehouse and distribution",DHL GLOBAL FORWARDING D O O,-220.61,
"Clinical, Lab and scientific services",CHARLES RIVER LABORATORIES GERMANY,-212.70,-212.70
"External Warehouse and distribution",H ESSERS AND ZONEN INTERNATIONAAL,-209.87,
"Clinical, Lab and scientific services",CHEMASS D.O.O.,-174.52,-174.52
Production Equipment,KLIMER STIRN and CO DNO,-165.75,-182.32
Production Equipment,A-CLASS,-164.88,-181.36
Production Equipment,SARTORIUS STEDIM BIO,-158.00,
Production Equipment,METRONIK D O O,-156.84,
"Clinical, Lab and scientific services","LABTIM laboratorijska oprema d.o.o.",-144.77,
Production Equipment,"NIL d.o.o.",-109.12,
"Clinical, Lab and scientific services",INTERMEDIATES-MANUFACTURED AUXILIARY,-104.46,
Miscellaneous Indirect Costs,"NIL d.o.o.",-101.13,
"Clinical, Lab and scientific services",TOTAL D.O.O. NOVO MESTO,-96.48,106.00
"Clinical, Lab and scientific services",KEMOMED D.O.O.,-95.97,
"Clinical, Lab and scientific services",SANOLABOR D D,-86.82,-86.82
"Clinical, Lab and scientific services","OMEGA d.o.o., Ljubljana",-86.14,
Professional Services,MEDICINA DELA BARBARA PEEE BREZNIK,-84.07,
"Clinical, Lab and scientific services","SPES d.o.o., Ljubljana",-67.55,
Production Equipment,VALFOR D.O.O.,-65.28,-73.77
"Clinical, Lab and scientific services",LKB VERTRIEBS GMBH,-63.23,
Office and Print,"MLADINSKA KNJIGA ZALOZBA D.O.O.",-60.86,
Production Equipment,MWM d.o.o.,-58.15,-58.15
"Clinical, Lab and scientific services",ASAHI KASEI BIOPROCESS EUROPE SA,-56.16,
"Clinical, Lab and scientific services",MILLIPORE S.A.S,-53.96,
"Clinical, Lab and scientific services",ROCHE D.O.O.,-53.80,
"Clinical, Lab and scientific services",GRIR 3RD PARTY-PURCHASED INDIRECT,-52.66,
Production Equipment,LOTRIC D O O,-51.93,-54.53
"Clinical, Lab and scientific services",Merck Life Science KGaA,-49.81,-49.81
Production Equipment,METTLER TOLEDO D.O.O,-47.14,
"Clinical, Lab and scientific services",SOLVIAS AG,-45.87,
"External Warehouse and distribution",PRIGO D O O BREZOVICA,-45.37,
"Clinical, Lab and scientific services",MEDITECH D.O.O.,-45.01,
"Clinical, Lab and scientific services",BioTechne Ireland Limited,-42.42,
"Clinical, Lab and scientific services",BIO TECHNE LTD,-42.42,49.42
"Clinical, Lab and scientific services",KEFO D.O.O.,-42.01,15.00
"Clinical, Lab and scientific services",WAGNER & MUNZ GMBH,-41.01,
"Clinical, Lab and scientific services","Analysis Adria d.o.o.",-40.48,-40.48
"Clinical, Lab and scientific services",DSV TRANSPORT D.O.O.,-38.82,
Production Equipment,"KAISER+KRAFT GMBH, PODRUZNICA LJUBL",-37.59,
"Clinical, Lab and scientific services",RAW MATERIALS - INVENTORY 3RD,-36.89,
"Clinical, Lab and scientific services",A & M STABTEST GMBH,-36.15,
"Clinical, Lab and scientific services",ZAVAS D.O.O.,-32.04,15.00
"Clinical, Lab and scientific services",MAT BioTech B V- PBMC CELLS,-30.50,43.01
Professional Services,ACCIDENT INS.FR.BENE,-29.92,
